




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.14083199 Released 2024-11-03
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Mus musculus - REFLIST (21836)	upload_1 (107)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
MutLalpha complex (GO:0032389)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
NELF complex (GO:0032021)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
prominosome (GO:0071914)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
glycosylphosphatidylinositol-mannosyltransferase I complex (GO:1990529)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
replication fork protection complex (GO:0031298)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
paraferritin complex (GO:0070826)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
Sin3-type complex (GO:0070822)	22	0	.11	-	 < 0.01	1.00E00	1.00E00
cis-Golgi network membrane (GO:0033106)	26	0	.13	-	 < 0.01	1.00E00	1.00E00
tertiary granule membrane (GO:0070821)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
dendritic spine cytoplasm (GO:0061846)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
neuron projection branch point (GO:0061845)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
aggresome (GO:0016235)	36	0	.18	-	 < 0.01	1.00E00	1.00E00
nuclear pore nuclear basket (GO:0044615)	13	0	.06	-	 < 0.01	1.00E00	1.00E00
inclusion body (GO:0016234)	78	0	.38	-	 < 0.01	1.00E00	1.00E00
nuclear pore cytoplasmic filaments (GO:0044614)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
nuclear pore central transport channel (GO:0044613)	7	0	.03	-	 < 0.01	1.00E00	1.00E00
Cdc73/Paf1 complex (GO:0016593)	7	0	.03	-	 < 0.01	1.00E00	1.00E00
nuclear pore inner ring (GO:0044611)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
mediator complex (GO:0016592)	38	0	.19	-	 < 0.01	1.00E00	1.00E00
dynein axonemal particle (GO:0120293)	18	0	.09	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II, holoenzyme (GO:0016591)	70	0	.34	-	 < 0.01	1.00E00	1.00E00
ACF complex (GO:0016590)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
GET complex (GO:0043529)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
tRNA (m2G10) methyltransferase complex (GO:0043528)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
tRNA methyltransferase complex (GO:0043527)	7	0	.03	-	 < 0.01	1.00E00	1.00E00
mitochondrial prohibitin complex (GO:0035632)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
CD40 receptor complex (GO:0035631)	11	0	.05	-	 < 0.01	1.00E00	1.00E00
CST complex (GO:1990879)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
FNIP-folliculin RagC/D GAP (GO:1990877)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of nuclear pore (GO:1990876)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
CLOCK-BMAL transcription complex (GO:1990513)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
nucleoplasmic side of nuclear pore (GO:1990875)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
Cry-Per complex (GO:1990512)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
omegasome membrane (GO:1903349)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
DBIRD complex (GO:0044609)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
NURF complex (GO:0016589)	7	0	.03	-	 < 0.01	1.00E00	1.00E00
ventral surface of cell (GO:0061835)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
actin filament branch point (GO:0061834)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
RSC-type complex (GO:0016586)	15	0	.07	-	 < 0.01	1.00E00	1.00E00
basal ectoplasmic specialization (GO:0061832)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
procollagen-proline 4-dioxygenase complex (GO:0016222)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
apical ectoplasmic specialization (GO:0061831)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
early phagosome (GO:0032009)	15	0	.07	-	 < 0.01	1.00E00	1.00E00
concave side of sperm head (GO:0061830)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
NuRD complex (GO:0016581)	17	0	.08	-	 < 0.01	1.00E00	1.00E00
autolysosome lumen (GO:0120282)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
autolysosome membrane (GO:0120281)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
senescence-associated heterochromatin focus (GO:0035985)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
interleukin-28 receptor complex (GO:0032002)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
interleukin-12 complex (GO:0043514)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
inhibin B complex (GO:0043513)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
inhibin A complex (GO:0043512)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
inhibin complex (GO:0043511)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
CKM complex (GO:1990508)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
dehydrodolichyl diphosphate synthase complex (GO:1904423)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
exon-exon junction subcomplex mago-y14 (GO:1990501)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex (GO:0000506)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
basal tubulobulbar complex (GO:0061829)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
apical tubulobulbar complex (GO:0061828)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
sperm head (GO:0061827)	44	0	.22	-	 < 0.01	1.00E00	1.00E00
podosome ring (GO:0061826)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
proteasome complex (GO:0000502)	67	0	.33	-	 < 0.01	1.00E00	1.00E00
podosome core (GO:0061825)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
activin A complex (GO:0043509)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
transcription factor AP-1 complex (GO:0035976)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
CENP-A containing nucleosome (GO:0043505)	11	0	.05	-	 < 0.01	1.00E00	1.00E00
CD95 death-inducing signaling complex (GO:0031265)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
death-inducing signaling complex (GO:0031264)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
male pronucleus (GO:0001940)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
Ndc80 complex (GO:0031262)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
DNA replication preinitiation complex (GO:0031261)	13	0	.06	-	 < 0.01	1.00E00	1.00E00
pseudopodium membrane (GO:0031260)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
Wnt-Frizzled-LRP5/6 complex (GO:1990851)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
female pronucleus (GO:0001939)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
RNA cap binding complex (GO:0034518)	13	0	.06	-	 < 0.01	1.00E00	1.00E00
uropod membrane (GO:0031259)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
lamellipodium membrane (GO:0031258)	23	0	.11	-	 < 0.01	1.00E00	1.00E00
cell trailing edge membrane (GO:0031257)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
proteasome storage granule (GO:0034515)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
cell trailing edge (GO:0031254)	15	0	.07	-	 < 0.01	1.00E00	1.00E00
extrinsic component of endoplasmic reticulum membrane (GO:0042406)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
uropod (GO:0001931)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
nuclear inclusion body (GO:0042405)	13	0	.06	-	 < 0.01	1.00E00	1.00E00
PAN complex (GO:0031251)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
GPI-anchor transamidase complex (GO:0042765)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
caspase complex (GO:0008303)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
7SK snRNP (GO:0120259)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
B cell receptor complex (GO:0019815)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
immunoglobulin complex (GO:0019814)	196	0	.96	-	 < 0.01	1.00E00	1.00E00
protein acetyltransferase complex (GO:0031248)	99	0	.49	-	 < 0.01	1.00E00	1.00E00
chromosome, centromeric core domain (GO:0034506)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
lysosomal matrix (GO:1990836)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Hrd1p ubiquitin ligase ERAD-L complex (GO:0000839)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
NLRP6 inflammasome complex (GO:0140738)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Hrd1p ubiquitin ligase complex (GO:0000836)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
ER ubiquitin ligase complex (GO:0000835)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
lateral wall of outer hair cell (GO:0120249)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
photoreceptor inner segment (GO:0001917)	72	0	.35	-	 < 0.01	1.00E00	1.00E00
cytosolic proteasome complex (GO:0031597)	7	0	.03	-	 < 0.01	1.00E00	1.00E00
extrinsic component of cytoplasmic side of plasma membrane (GO:0031234)	51	0	.25	-	 < 0.01	1.00E00	1.00E00
nucleoplasmic periphery of the nuclear pore complex (GO:1990826)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear proteasome complex (GO:0031595)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
extrinsic component of external side of plasma membrane (GO:0031232)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
centrosomal corona (GO:0031592)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
box C/D RNP complex (GO:0170049)	7	0	.03	-	 < 0.01	1.00E00	1.00E00
virus-like capsid (GO:0170047)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
sperm glycocalyx (GO:0120238)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein kinase 5 complex (GO:0016533)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
stereocilium coat (GO:0120234)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
COPI-coated Golgi to ER transport vesicle (GO:0030142)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
trans-Golgi network transport vesicle (GO:0030140)	38	0	.19	-	 < 0.01	1.00E00	1.00E00
H4 histone acetyltransferase complex (GO:1902562)	41	0	.20	-	 < 0.01	1.00E00	1.00E00
angiogenin-PRI complex (GO:0032311)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
GMP reductase complex (GO:1902560)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
nucleotide-activated protein kinase complex (GO:0031588)	11	0	.05	-	 < 0.01	1.00E00	1.00E00
growth cone filopodium (GO:1990812)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
MWP complex (GO:1990811)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ESCRT III complex (GO:0000815)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
ESCRT II complex (GO:0000814)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
outer dynein arm docking complex (GO:0120228)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
ESCRT I complex (GO:0000813)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
COPII-coated ER to Golgi transport vesicle (GO:0030134)	60	0	.29	-	 < 0.01	1.00E00	1.00E00
midbody (GO:0030496)	238	0	1.17	-	 < 0.01	6.34E-01	1.00E00
GINS complex (GO:0000811)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
clathrin coat of coated pit (GO:0030132)	20	0	.10	-	 < 0.01	1.00E00	1.00E00
clathrin adaptor complex (GO:0030131)	29	0	.14	-	 < 0.01	1.00E00	1.00E00
clathrin coat of trans-Golgi network vesicle (GO:0030130)	15	0	.07	-	 < 0.01	1.00E00	1.00E00
basal body patch (GO:0120220)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
endoribonuclease complex (GO:1902555)	32	0	.16	-	 < 0.01	1.00E00	1.00E00
MutSbeta complex (GO:0032302)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
MutSalpha complex (GO:0032301)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
mismatch repair complex (GO:0032300)	7	0	.03	-	 < 0.01	1.00E00	1.00E00
calpain complex (GO:0110158)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
reelin complex (GO:0110157)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
RSF complex (GO:0031213)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
origin recognition complex (GO:0000808)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
Y chromosome (GO:0000806)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
clathrin coat of endocytic vesicle (GO:0030128)	14	0	.07	-	 < 0.01	1.00E00	1.00E00
TIM22 mitochondrial import inner membrane insertion complex (GO:0042721)	7	0	.03	-	 < 0.01	1.00E00	1.00E00
X chromosome (GO:0000805)	9	0	.04	-	 < 0.01	1.00E00	1.00E00
subapical part of cell (GO:0120219)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
COPII vesicle coat (GO:0030127)	15	0	.07	-	 < 0.01	1.00E00	1.00E00
mitochondrial inner membrane peptidase complex (GO:0042720)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
CHRAC (GO:0008623)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
SKA complex (GO:0170027)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
sex chromosome (GO:0000803)	42	0	.21	-	 < 0.01	1.00E00	1.00E00
epsilon DNA polymerase complex (GO:0008622)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
clathrin vesicle coat (GO:0030125)	34	0	.17	-	 < 0.01	1.00E00	1.00E00
transverse filament (GO:0000802)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
matrilin complex (GO:0120216)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
AP-4 adaptor complex (GO:0030124)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
central element (GO:0000801)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
SWI/SNF complex (GO:0016514)	28	0	.14	-	 < 0.01	1.00E00	1.00E00
AP-3 adaptor complex (GO:0030123)	13	0	.06	-	 < 0.01	1.00E00	1.00E00
smooth muscle contractile fiber (GO:0030485)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
lateral element (GO:0000800)	19	0	.09	-	 < 0.01	1.00E00	1.00E00
core-binding factor complex (GO:0016513)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
AP-2 adaptor complex (GO:0030122)	13	0	.06	-	 < 0.01	1.00E00	1.00E00
AP-1 adaptor complex (GO:0030121)	11	0	.05	-	 < 0.01	1.00E00	1.00E00
sperm head-tail coupling apparatus (GO:0120212)	18	0	.09	-	 < 0.01	1.00E00	1.00E00
Sec62/Sec63 complex (GO:0031207)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum Sec complex (GO:0031205)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
mitochondrial intermembrane space protein transporter complex (GO:0042719)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
ubiquinone biosynthesis complex (GO:0110142)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
AP-type membrane coat adaptor complex (GO:0030119)	46	0	.23	-	 < 0.01	1.00E00	1.00E00
clathrin coat (GO:0030118)	52	0	.25	-	 < 0.01	1.00E00	1.00E00
mitochondrial fatty acid beta-oxidation multienzyme complex (GO:0016507)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
actin cap (GO:0030478)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
polkadots (GO:0002096)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
caveolar macromolecular signaling complex (GO:0002095)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
photoreceptor distal connecting cilium (GO:0120206)	7	0	.03	-	 < 0.01	1.00E00	1.00E00
ankyrin-1 complex (GO:0170014)	7	0	.03	-	 < 0.01	1.00E00	1.00E00
photoreceptor proximal connecting cilium (GO:0120205)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glycocalyx (GO:0030112)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
rod photoreceptor disc membrane (GO:0120202)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
rod photoreceptor outer segment (GO:0120200)	9	0	.04	-	 < 0.01	1.00E00	1.00E00
type III intermediate filament (GO:0045098)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
keratin filament (GO:0045095)	53	0	.26	-	 < 0.01	1.00E00	1.00E00
interleukin-18 receptor complex (GO:0045092)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
succinate-CoA ligase complex (GO:0042709)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
TRC complex (GO:0072380)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
extrinsic component of synaptic membrane (GO:0099243)	38	0	.19	-	 < 0.01	1.00E00	1.00E00
outer acrosomal membrane (GO:0002081)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
acrosomal membrane (GO:0002080)	48	0	.24	-	 < 0.01	1.00E00	1.00E00
Fc-epsilon receptor I complex (GO:0032998)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
Fc receptor complex (GO:0032997)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
Bcl3-Bcl10 complex (GO:0032996)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein-lipid complex (GO:0032994)	44	0	.22	-	 < 0.01	1.00E00	1.00E00
Scc2-Scc4 cohesin loading complex (GO:0090694)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
ER membrane insertion complex (GO:0072379)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
inner acrosomal membrane (GO:0002079)	9	0	.04	-	 < 0.01	1.00E00	1.00E00
telomerase holoenzyme complex (GO:0005697)	21	0	.10	-	 < 0.01	1.00E00	1.00E00
U6atac snRNP (GO:0005691)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
U4atac snRNP (GO:0005690)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
kainate selective glutamate receptor complex (GO:0032983)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
myosin filament (GO:0032982)	23	0	.11	-	 < 0.01	1.00E00	1.00E00
growth hormone receptor complex (GO:0070195)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
CNTFR-CLCF1 complex (GO:0097059)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
CRLF-CLCF1 complex (GO:0097058)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
TRAF2-GSTP1 complex (GO:0097057)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
mRNA capping enzyme complex (GO:0031533)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
U12-type spliceosomal complex (GO:0005689)	27	0	.13	-	 < 0.01	1.00E00	1.00E00
U6 snRNP (GO:0005688)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
nitric-oxide synthase complex (GO:1903958)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
U4 snRNP (GO:0005687)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
U2 snRNP (GO:0005686)	21	0	.10	-	 < 0.01	1.00E00	1.00E00
U1 snRNP (GO:0005685)	18	0	.09	-	 < 0.01	1.00E00	1.00E00
U2-type spliceosomal complex (GO:0005684)	106	0	.52	-	 < 0.01	1.00E00	1.00E00
U7 snRNP (GO:0005683)	7	0	.03	-	 < 0.01	1.00E00	1.00E00
U5 snRNP (GO:0005682)	16	0	.08	-	 < 0.01	1.00E00	1.00E00
anaphase-promoting complex (GO:0005680)	24	0	.12	-	 < 0.01	1.00E00	1.00E00
adenylyltransferase complex (GO:1902503)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
lysosomal HOPS complex (GO:1902501)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
vacuolar HOPS complex (GO:1902500)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
ciliary pocket membrane (GO:0020018)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
shelterin complex (GO:0070187)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
ciliary pocket (GO:0020016)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
microvillus membrane (GO:0031528)	34	0	.17	-	 < 0.01	1.00E00	1.00E00
filopodium membrane (GO:0031527)	19	0	.09	-	 < 0.01	1.00E00	1.00E00
brush border membrane (GO:0031526)	82	0	.40	-	 < 0.01	1.00E00	1.00E00
Myb complex (GO:0031523)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
PTW/PP1 phosphatase complex (GO:0072357)	7	0	.03	-	 < 0.01	1.00E00	1.00E00
chromatin silencing complex (GO:0005677)	13	0	.06	-	 < 0.01	1.00E00	1.00E00
transcription factor TFIIH holo complex (GO:0005675)	12	0	.06	-	 < 0.01	1.00E00	1.00E00
transcription factor TFIIF complex (GO:0005674)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
striated muscle dense body (GO:0055120)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
transcription factor TFIIE complex (GO:0005673)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
transcription factor TFIIA complex (GO:0005672)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
glutamatergic postsynaptic density (GO:0099573)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
host cell cytoplasm (GO:0030430)	7	0	.03	-	 < 0.01	1.00E00	1.00E00
postsynaptic cytoskeleton (GO:0099571)	26	0	.13	-	 < 0.01	1.00E00	1.00E00
Ssh1 translocon complex (GO:0071261)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glycoprotein complex (GO:0090665)	25	0	.12	-	 < 0.01	1.00E00	1.00E00
DRM complex (GO:0070176)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
symbiont-containing vacuole membrane (GO:0020005)	7	0	.03	-	 < 0.01	1.00E00	1.00E00
symbiont-containing vacuole (GO:0020003)	7	0	.03	-	 < 0.01	1.00E00	1.00E00
box H/ACA telomerase RNP complex (GO:0090661)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
perinuclear endoplasmic reticulum (GO:0097038)	28	0	.14	-	 < 0.01	1.00E00	1.00E00
tRNA (m1A) methyltransferase complex (GO:0031515)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
Mis6-Sim4 complex (GO:0031511)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
SUMO activating enzyme complex (GO:0031510)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
transcription factor TFIID complex (GO:0005669)	31	0	.15	-	 < 0.01	1.00E00	1.00E00
RNA polymerase transcription factor SL1 complex (GO:0005668)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
presynaptic cytoskeleton (GO:0099569)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
RNA polymerase III complex (GO:0005666)	18	0	.09	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II, core complex (GO:0005665)	15	0	.07	-	 < 0.01	1.00E00	1.00E00
nuclear origin of replication recognition complex (GO:0005664)	8	0	.04	-	 < 0.01	1.00E00	1.00E00
DNA replication factor C complex (GO:0005663)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
DNA replication factor A complex (GO:0005662)	18	0	.09	-	 < 0.01	1.00E00	1.00E00
2-(3-amino-3-carboxypropyl)histidine synthase complex (GO:0120513)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
translocon complex (GO:0071256)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
cytoplasmic U snRNP body (GO:0071254)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
mitochondrial [4Fe-4S] assembly complex (GO:0120510)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cone matrix sheath (GO:0090658)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
apical cytoplasm (GO:0090651)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
tight junction (GO:0070160)	158	0	.77	-	 < 0.01	1.00E00	1.00E00
ciliary basal body (GO:0036064)	188	0	.92	-	 < 0.01	1.00E00	1.00E00
MPP7-DLG1-LIN7 complex (GO:0097025)	5	0	.02	-	 < 0.01	1.00E00	1.00E00
dolichyl-phosphate-mannose-protein mannosyltransferase complex (GO:0031502)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
mannosyltransferase complex (GO:0031501)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
alpha DNA polymerase:primase complex (GO:0005658)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
photoreceptor disc membrane (GO:0097381)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
replication fork (GO:0005657)	78	0	.38	-	 < 0.01	1.00E00	1.00E00
nuclear pre-replicative complex (GO:0005656)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
GDP-mannose pyrophosphorylase complex (GO:0120508)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
nucleolar ribonuclease P complex (GO:0005655)	7	0	.03	-	 < 0.01	1.00E00	1.00E00
tRNA-guanine transglycosylase complex (GO:0120507)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear lamina (GO:0005652)	17	0	.08	-	 < 0.01	1.00E00	1.00E00
kinocilium (GO:0060091)	13	0	.06	-	 < 0.01	1.00E00	1.00E00
slit diaphragm (GO:0036057)	11	0	.05	-	 < 0.01	1.00E00	1.00E00
filtration diaphragm (GO:0036056)	11	0	.05	-	 < 0.01	1.00E00	1.00E00
glomerular endothelium fenestra (GO:0036053)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
snRNA-activating protein complex (GO:0019185)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
meiotic spindle (GO:0072687)	21	0	.10	-	 < 0.01	1.00E00	1.00E00
mitotic spindle (GO:0072686)	180	0	.88	-	 < 0.01	1.00E00	1.00E00
nuclear pore (GO:0005643)	77	0	.38	-	 < 0.01	1.00E00	1.00E00
annulate lamellae (GO:0005642)	7	0	.03	-	 < 0.01	1.00E00	1.00E00
perisynaptic space (GO:0099544)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
nuclear outer membrane (GO:0005640)	34	0	.17	-	 < 0.01	1.00E00	1.00E00
neuronal ribonucleoprotein granule (GO:0071598)	10	0	.05	-	 < 0.01	1.00E00	1.00E00
Nem1-Spo7 phosphatase complex (GO:0071595)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
SREBP-SCAP-Insig complex (GO:0032937)	3	0	.01	-	 < 0.01	1.00E00	1.00E00
SREBP-SCAP complex (GO:0032936)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
inner dense plaque of desmosome (GO:0090637)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
outer dense plaque of desmosome (GO:0090636)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
mitochondrial degradosome (GO:0045025)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
C-fiber (GO:0044299)	4	0	.02	-	 < 0.01	1.00E00	1.00E00
MCM8-MCM9 complex (GO:0097362)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
lamin filament (GO:0005638)	6	0	.03	-	 < 0.01	1.00E00	1.00E00
