




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.14083199 Released 2024-11-03
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Mus musculus - REFLIST (21836)	upload_1 (1411)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
condensed chromosome (GO:0000793)	342	39	22.10	+	1.76	5.29E-04	8.78E-03
supramolecular polymer (GO:0099081)	1028	117	66.43	+	1.76	1.58E-09	7.33E-08
myelin sheath (GO:0043209)	211	24	13.63	+	1.76	6.85E-03	6.69E-02
actin-based cell projection (GO:0098858)	273	31	17.64	+	1.76	2.60E-03	3.20E-02
transcription elongation factor complex (GO:0008023)	53	6	3.42	+	1.75	1.54E-01	6.06E-01
U2-type spliceosomal complex (GO:0005684)	106	12	6.85	+	1.75	4.77E-02	2.90E-01
protein serine/threonine phosphatase complex (GO:0008287)	53	6	3.42	+	1.75	1.54E-01	6.05E-01
phosphatase complex (GO:1903293)	53	6	3.42	+	1.75	1.54E-01	6.04E-01
organelle envelope lumen (GO:0031970)	106	12	6.85	+	1.75	4.77E-02	2.89E-01
cytoplasmic side of plasma membrane (GO:0009898)	168	19	10.86	+	1.75	1.68E-02	1.32E-01
stereocilium (GO:0032420)	71	8	4.59	+	1.74	1.38E-01	5.58E-01
monoatomic ion channel complex (GO:0034702)	348	39	22.49	+	1.73	8.56E-04	1.30E-02
myofibril (GO:0030016)	259	29	16.74	+	1.73	4.63E-03	4.92E-02
contractile muscle fiber (GO:0043292)	268	30	17.32	+	1.73	3.61E-03	4.19E-02
sarcomere (GO:0030017)	233	26	15.06	+	1.73	6.72E-03	6.60E-02
anchoring junction (GO:0070161)	772	86	49.89	+	1.72	6.98E-07	2.14E-05
U12-type spliceosomal complex (GO:0005689)	27	3	1.74	+	1.72	2.52E-01	7.72E-01
clathrin-coated endocytic vesicle (GO:0045334)	27	3	1.74	+	1.72	2.52E-01	7.71E-01
actin cytoskeleton (GO:0015629)	540	60	34.89	+	1.72	3.93E-05	8.71E-04
replisome (GO:0030894)	27	3	1.74	+	1.72	2.52E-01	7.70E-01
spine apparatus (GO:0097444)	9	1	.58	+	1.72	4.52E-01	1.00E00
basal dendrite (GO:0097441)	9	1	.58	+	1.72	4.52E-01	1.00E00
extrinsic component of presynaptic membrane (GO:0098888)	18	2	1.16	+	1.72	3.26E-01	9.14E-01
serine palmitoyltransferase complex (GO:0017059)	9	1	.58	+	1.72	4.52E-01	1.00E00
proton-transporting two-sector ATPase complex, catalytic domain (GO:0033178)	18	2	1.16	+	1.72	3.26E-01	9.13E-01
presynaptic endosome (GO:0098830)	9	1	.58	+	1.72	4.52E-01	1.00E00
dynein axonemal particle (GO:0120293)	18	2	1.16	+	1.72	3.26E-01	9.11E-01
rod photoreceptor outer segment (GO:0120200)	9	1	.58	+	1.72	4.52E-01	1.00E00
growth cone membrane (GO:0032584)	9	1	.58	+	1.72	4.52E-01	1.00E00
RNA polymerase III transcription regulator complex (GO:0090576)	9	1	.58	+	1.72	4.52E-01	1.00E00
RNA polymerase II transcription repressor complex (GO:0090571)	18	2	1.16	+	1.72	3.26E-01	9.10E-01
preribosome, large subunit precursor (GO:0030687)	18	2	1.16	+	1.72	3.26E-01	9.09E-01
junctional membrane complex (GO:0030314)	9	1	.58	+	1.72	4.52E-01	1.00E00
glycinergic synapse (GO:0098690)	18	2	1.16	+	1.72	3.26E-01	9.08E-01
PRC1 complex (GO:0035102)	18	2	1.16	+	1.72	3.26E-01	9.06E-01
NMDA selective glutamate receptor complex (GO:0017146)	9	1	.58	+	1.72	4.52E-01	1.00E00
Atg1/ULK1 kinase complex (GO:1990316)	9	1	.58	+	1.72	4.52E-01	1.00E00
MICOS complex (GO:0061617)	9	1	.58	+	1.72	4.52E-01	1.00E00
NLS-dependent protein nuclear import complex (GO:0042564)	9	1	.58	+	1.72	4.52E-01	1.00E00
inner kinetochore (GO:0000939)	18	2	1.16	+	1.72	3.26E-01	9.05E-01
gamma-tubulin ring complex (GO:0000931)	9	1	.58	+	1.72	4.52E-01	1.00E00
plasma membrane raft (GO:0044853)	145	16	9.37	+	1.71	3.90E-02	2.45E-01
endoplasmic reticulum protein-containing complex (GO:0140534)	127	14	8.21	+	1.71	4.48E-02	2.76E-01
lamellipodium (GO:0030027)	218	24	14.09	+	1.70	1.16E-02	1.04E-01
neuron projection cytoplasm (GO:0120111)	100	11	6.46	+	1.70	9.72E-02	4.59E-01
nuclear chromosome (GO:0000228)	292	32	18.87	+	1.70	3.66E-03	4.21E-02
small-subunit processome (GO:0032040)	73	8	4.72	+	1.70	1.44E-01	5.79E-01
extrinsic component of membrane (GO:0019898)	192	21	12.41	+	1.69	1.73E-02	1.31E-01
ribonucleoprotein complex (GO:1990904)	723	79	46.72	+	1.69	4.67E-06	1.22E-04
bicellular tight junction (GO:0005923)	147	16	9.50	+	1.68	4.08E-02	2.53E-01
dendritic shaft (GO:0043198)	74	8	4.78	+	1.67	1.47E-01	5.90E-01
dendrite cytoplasm (GO:0032839)	37	4	2.39	+	1.67	2.99E-01	8.47E-01
supramolecular complex (GO:0099080)	1402	151	90.59	+	1.67	3.29E-10	1.64E-08
tight junction (GO:0070160)	158	17	10.21	+	1.67	3.41E-02	2.24E-01
perinuclear endoplasmic reticulum (GO:0097038)	28	3	1.81	+	1.66	4.24E-01	1.00E00
cell-cell junction (GO:0005911)	571	61	36.90	+	1.65	1.29E-04	2.58E-03
methyltransferase complex (GO:0034708)	103	11	6.66	+	1.65	1.03E-01	4.81E-01
nuclear matrix (GO:0016363)	132	14	8.53	+	1.64	7.18E-02	3.75E-01
postsynaptic actin cytoskeleton (GO:0098871)	19	2	1.23	+	1.63	3.50E-01	9.33E-01
mRNA cleavage and polyadenylation specificity factor complex (GO:0005847)	19	2	1.23	+	1.63	3.50E-01	9.32E-01
complex of collagen trimers (GO:0098644)	19	2	1.23	+	1.63	3.50E-01	9.31E-01
proteasome complex (GO:0000502)	67	7	4.33	+	1.62	2.04E-01	6.78E-01
acrosomal membrane (GO:0002080)	48	5	3.10	+	1.61	2.37E-01	7.30E-01
transport vesicle membrane (GO:0030658)	250	26	16.15	+	1.61	1.87E-02	1.41E-01
preribosome (GO:0030684)	106	11	6.85	+	1.61	1.10E-01	5.07E-01
proton-transporting V-type ATPase complex (GO:0033176)	29	3	1.87	+	1.60	4.32E-01	1.00E00
M band (GO:0031430)	29	3	1.87	+	1.60	4.32E-01	1.00E00
transferase complex, transferring phosphorus-containing groups (GO:0061695)	271	28	17.51	+	1.60	1.27E-02	1.07E-01
transport vesicle (GO:0030133)	437	45	28.24	+	1.59	2.14E-03	2.77E-02
ruffle (GO:0001726)	195	20	12.60	+	1.59	3.91E-02	2.44E-01
organellar ribosome (GO:0000313)	88	9	5.69	+	1.58	1.85E-01	6.36E-01
mitochondrial ribosome (GO:0005761)	88	9	5.69	+	1.58	1.85E-01	6.35E-01
basal part of cell (GO:0045178)	362	37	23.39	+	1.58	6.59E-03	6.57E-02
plasma membrane bounded cell projection (GO:0120025)	2632	269	170.07	+	1.58	4.63E-15	3.85E-13
SNARE complex (GO:0031201)	49	5	3.17	+	1.58	2.46E-01	7.56E-01
endopeptidase complex (GO:1905369)	98	10	6.33	+	1.58	1.44E-01	5.79E-01
nuclear speck (GO:0016607)	424	43	27.40	+	1.57	3.58E-03	4.20E-02
cell projection (GO:0042995)	2746	278	177.44	+	1.57	3.96E-15	3.44E-13
plasma membrane protein complex (GO:0098797)	613	62	39.61	+	1.57	4.39E-04	7.67E-03
plasma membrane signaling receptor complex (GO:0098802)	198	20	12.79	+	1.56	4.18E-02	2.59E-01
recycling endosome membrane (GO:0055038)	99	10	6.40	+	1.56	1.48E-01	5.90E-01
basolateral plasma membrane (GO:0016323)	308	31	19.90	+	1.56	1.38E-02	1.12E-01
eukaryotic translation initiation factor 4F complex (GO:0016281)	10	1	.65	+	1.55	4.87E-01	1.00E00
PcG protein complex (GO:0031519)	50	5	3.23	+	1.55	2.55E-01	7.70E-01
neuronal ribonucleoprotein granule (GO:0071598)	10	1	.65	+	1.55	4.87E-01	1.00E00
connexin complex (GO:0005922)	20	2	1.29	+	1.55	3.74E-01	9.50E-01
cohesin complex (GO:0008278)	10	1	.65	+	1.55	4.87E-01	1.00E00
cone photoreceptor outer segment (GO:0120199)	10	1	.65	+	1.55	4.87E-01	1.00E00
hemidesmosome (GO:0030056)	10	1	.65	+	1.55	4.87E-01	1.00E00
extrinsic component of postsynaptic density membrane (GO:0099147)	10	1	.65	+	1.55	4.87E-01	1.00E00
basal plasma membrane (GO:0009925)	340	34	21.97	+	1.55	1.04E-02	9.38E-02
nucleolar exosome (RNase complex) (GO:0101019)	10	1	.65	+	1.55	4.87E-01	1.00E00
intraciliary transport particle B (GO:0030992)	20	2	1.29	+	1.55	3.74E-01	9.49E-01
alveolar lamellar body (GO:0097208)	10	1	.65	+	1.55	4.87E-01	1.00E00
asymmetric, glutamatergic, excitatory synapse (GO:0098985)	20	2	1.29	+	1.55	3.74E-01	9.47E-01
Gemini of coiled bodies (GO:0097504)	10	1	.65	+	1.55	4.87E-01	1.00E00
zymogen granule membrane (GO:0042589)	20	2	1.29	+	1.55	3.74E-01	9.46E-01
SMN complex (GO:0032797)	10	1	.65	+	1.55	4.87E-01	1.00E00
flotillin complex (GO:0016600)	10	1	.65	+	1.55	4.87E-01	1.00E00
Bcl-2 family protein complex (GO:0097136)	10	1	.65	+	1.55	4.87E-01	1.00E00
phagocytic cup (GO:0001891)	30	3	1.94	+	1.55	4.41E-01	1.00E00
endoplasmic reticulum tubular network (GO:0071782)	30	3	1.94	+	1.55	4.41E-01	1.00E00
receptor complex (GO:0043235)	415	41	26.82	+	1.53	6.34E-03	6.36E-02
stereocilium bundle (GO:0032421)	81	8	5.23	+	1.53	2.50E-01	7.66E-01
glial cell projection (GO:0097386)	61	6	3.94	+	1.52	2.88E-01	8.20E-01
mitochondrial protein-containing complex (GO:0098798)	173	17	11.18	+	1.52	8.49E-02	4.25E-01
extrinsic component of cytoplasmic side of plasma membrane (GO:0031234)	51	5	3.30	+	1.52	3.82E-01	9.60E-01
proton-transporting two-sector ATPase complex (GO:0016469)	51	5	3.30	+	1.52	3.82E-01	9.58E-01
secretory vesicle (GO:0099503)	765	75	49.43	+	1.52	3.06E-04	5.65E-03
microtubule cytoskeleton (GO:0015630)	1439	141	92.99	+	1.52	5.24E-07	1.63E-05
transcription regulator complex (GO:0005667)	557	54	35.99	+	1.50	2.87E-03	3.47E-02
apical dendrite (GO:0097440)	31	3	2.00	+	1.50	4.50E-01	1.00E00
AMPA glutamate receptor complex (GO:0032281)	31	3	2.00	+	1.50	4.50E-01	1.00E00
cytoskeleton (GO:0005856)	2382	230	153.92	+	1.49	2.20E-10	1.16E-08
male germ cell nucleus (GO:0001673)	83	8	5.36	+	1.49	2.56E-01	7.72E-01
histone deacetylase complex (GO:0000118)	83	8	5.36	+	1.49	2.56E-01	7.71E-01
chromatin (GO:0000785)	793	76	51.24	+	1.48	5.25E-04	8.80E-03
transmembrane transporter complex (GO:1902495)	481	46	31.08	+	1.48	8.29E-03	7.80E-02
RNA polymerase II transcription regulator complex (GO:0090575)	251	24	16.22	+	1.48	5.18E-02	3.05E-01
chromosome (GO:0005694)	1454	139	93.95	+	1.48	2.46E-06	7.02E-05
nuclear protein-containing complex (GO:0140513)	1267	121	81.87	+	1.48	1.24E-05	3.00E-04
GABA receptor complex (GO:1902710)	21	2	1.36	+	1.47	6.43E-01	1.00E00
proton-transporting ATP synthase complex (GO:0045259)	21	2	1.36	+	1.47	6.43E-01	1.00E00
retromer complex (GO:0030904)	21	2	1.36	+	1.47	6.43E-01	1.00E00
stereocilium tip (GO:0032426)	21	2	1.36	+	1.47	6.43E-01	1.00E00
ribosomal subunit (GO:0044391)	189	18	12.21	+	1.47	9.96E-02	4.69E-01
mitochondrial outer membrane (GO:0005741)	210	20	13.57	+	1.47	8.80E-02	4.38E-01
ciliary membrane (GO:0060170)	74	7	4.78	+	1.46	3.36E-01	8.99E-01
protein-DNA complex (GO:0032993)	222	21	14.35	+	1.46	7.37E-02	3.81E-01
extracellular organelle (GO:0043230)	127	12	8.21	+	1.46	2.00E-01	6.73E-01
extracellular membrane-bounded organelle (GO:0065010)	127	12	8.21	+	1.46	2.00E-01	6.72E-01
germ cell nucleus (GO:0043073)	106	10	6.85	+	1.46	2.29E-01	7.46E-01
cytoplasmic side of membrane (GO:0098562)	213	20	13.76	+	1.45	9.10E-02	4.43E-01
extracellular exosome (GO:0070062)	96	9	6.20	+	1.45	2.15E-01	7.11E-01
catenin complex (GO:0016342)	32	3	2.07	+	1.45	4.60E-01	1.00E00
endocytic vesicle (GO:0030139)	235	22	15.19	+	1.45	8.10E-02	4.08E-01
small ribosomal subunit (GO:0015935)	75	7	4.85	+	1.44	3.39E-01	9.06E-01
extracellular vesicle (GO:1903561)	118	11	7.62	+	1.44	1.90E-01	6.46E-01
large ribosomal subunit (GO:0015934)	118	11	7.62	+	1.44	1.90E-01	6.45E-01
inner mitochondrial membrane protein complex (GO:0098800)	43	4	2.78	+	1.44	3.58E-01	9.49E-01
transporter complex (GO:1990351)	506	47	32.70	+	1.44	1.31E-02	1.09E-01
U2-type precatalytic spliceosome (GO:0071005)	54	5	3.49	+	1.43	3.97E-01	9.91E-01
apical part of cell (GO:0045177)	595	55	38.45	+	1.43	8.47E-03	7.89E-02
secretory granule (GO:0030141)	534	49	34.51	+	1.42	1.25E-02	1.06E-01
clathrin-coated vesicle (GO:0030136)	164	15	10.60	+	1.42	1.52E-01	5.98E-01
lysosomal lumen (GO:0043202)	33	3	2.13	+	1.41	4.70E-01	1.00E00
intermediate filament (GO:0005882)	143	13	9.24	+	1.41	2.28E-01	7.43E-01
high-density lipoprotein particle (GO:0034364)	33	3	2.13	+	1.41	4.70E-01	1.00E00
apical plasma membrane (GO:0016324)	484	44	31.28	+	1.41	2.42E-02	1.69E-01
nuclear membrane protein complex (GO:0106083)	11	1	.71	+	1.41	5.20E-01	1.00E00
astral microtubule (GO:0000235)	11	1	.71	+	1.41	5.20E-01	1.00E00
Sin3-type complex (GO:0070822)	22	2	1.42	+	1.41	6.50E-01	1.00E00
CD40 receptor complex (GO:0035631)	11	1	.71	+	1.41	5.20E-01	1.00E00
nucleotide-activated protein kinase complex (GO:0031588)	11	1	.71	+	1.41	5.20E-01	1.00E00
G protein-coupled receptor complex (GO:0097648)	11	1	.71	+	1.41	5.20E-01	1.00E00
proteasome core complex, beta-subunit complex (GO:0019774)	11	1	.71	+	1.41	5.20E-01	1.00E00
nuclear telomere cap complex (GO:0000783)	11	1	.71	+	1.41	5.20E-01	1.00E00
telomere cap complex (GO:0000782)	11	1	.71	+	1.41	5.20E-01	1.00E00
secretory granule lumen (GO:0034774)	22	2	1.42	+	1.41	6.50E-01	1.00E00
microvesicle (GO:1990742)	11	1	.71	+	1.41	5.20E-01	1.00E00
N-terminal protein acetyltransferase complex (GO:0031414)	11	1	.71	+	1.41	5.20E-01	1.00E00
cerebellar climbing fiber to Purkinje cell synapse (GO:0150053)	11	1	.71	+	1.41	5.20E-01	1.00E00
dopaminergic synapse (GO:0098691)	22	2	1.42	+	1.41	6.50E-01	1.00E00
TRAPPII protein complex (GO:1990071)	11	1	.71	+	1.41	5.20E-01	1.00E00
EMC complex (GO:0072546)	11	1	.71	+	1.41	5.20E-01	1.00E00
nucleocytoplasmic transport complex (GO:0031074)	11	1	.71	+	1.41	5.20E-01	1.00E00
meiotic nuclear membrane microtubule tethering complex (GO:0034993)	11	1	.71	+	1.41	5.20E-01	1.00E00
microtubule organizing center attachment site (GO:0034992)	11	1	.71	+	1.41	5.20E-01	1.00E00
Wnt signalosome (GO:1990909)	11	1	.71	+	1.41	5.20E-01	1.00E00
zona pellucida receptor complex (GO:0002199)	11	1	.71	+	1.41	5.20E-01	1.00E00
precatalytic spliceosome (GO:0071011)	55	5	3.55	+	1.41	4.03E-01	1.00E00
nuclear membrane microtubule tethering complex (GO:0106094)	11	1	.71	+	1.41	5.20E-01	1.00E00
nucleolus (GO:0005730)	1016	92	65.65	+	1.40	1.04E-03	1.52E-02
hippocampal mossy fiber to CA3 synapse (GO:0098686)	67	6	4.33	+	1.39	4.48E-01	1.00E00
Cajal body (GO:0015030)	56	5	3.62	+	1.38	4.10E-01	1.00E00
cell-substrate junction (GO:0030055)	213	19	13.76	+	1.38	1.59E-01	6.11E-01
ionotropic glutamate receptor complex (GO:0008328)	45	4	2.91	+	1.38	5.34E-01	1.00E00
cation-transporting ATPase complex (GO:0090533)	45	4	2.91	+	1.38	5.34E-01	1.00E00
intermediate filament cytoskeleton (GO:0045111)	180	16	11.63	+	1.38	1.72E-01	6.52E-01
midbody (GO:0030496)	238	21	15.38	+	1.37	1.43E-01	5.77E-01
protein-containing complex (GO:0032991)	5919	521	382.47	+	1.36	7.92E-17	8.77E-15
intracellular membraneless organelle (GO:0043232)	4886	430	315.72	+	1.36	3.04E-13	2.33E-11
centriolar satellite (GO:0034451)	125	11	8.08	+	1.36	2.72E-01	8.08E-01
membraneless organelle (GO:0043228)	4888	430	315.85	+	1.36	3.10E-13	2.29E-11
cleavage furrow (GO:0032154)	57	5	3.68	+	1.36	4.17E-01	1.00E00
mitochondrial matrix (GO:0005759)	377	33	24.36	+	1.35	7.21E-02	3.75E-01
myosin filament (GO:0032982)	23	2	1.49	+	1.35	6.58E-01	1.00E00
proteasome regulatory particle (GO:0005838)	23	2	1.49	+	1.35	6.58E-01	1.00E00
centrosome (GO:0005813)	737	64	47.62	+	1.34	1.78E-02	1.34E-01
outer membrane (GO:0019867)	242	21	15.64	+	1.34	1.86E-01	6.38E-01
organelle outer membrane (GO:0031968)	242	21	15.64	+	1.34	1.86E-01	6.37E-01
nuclear body (GO:0016604)	854	74	55.18	+	1.34	1.04E-02	9.40E-02
ribosome (GO:0005840)	243	21	15.70	+	1.34	1.87E-01	6.38E-01
actin filament (GO:0005884)	128	11	8.27	+	1.33	3.63E-01	9.60E-01
peptidase complex (GO:1905368)	128	11	8.27	+	1.33	3.63E-01	9.59E-01
microtubule organizing center (GO:0005815)	885	76	57.19	+	1.33	1.18E-02	1.03E-01
heterotrimeric G-protein complex (GO:0005834)	35	3	2.26	+	1.33	4.92E-01	1.00E00
Cul4-RING E3 ubiquitin ligase complex (GO:0080008)	35	3	2.26	+	1.33	4.92E-01	1.00E00
cytosol (GO:0005829)	4171	357	269.52	+	1.32	3.00E-09	1.30E-07
intracellular organelle lumen (GO:0070013)	4861	416	314.11	+	1.32	6.29E-11	3.69E-09
organelle lumen (GO:0043233)	4862	416	314.17	+	1.32	6.34E-11	3.61E-09
membrane-enclosed lumen (GO:0031974)	4862	416	314.17	+	1.32	6.34E-11	3.51E-09
focal adhesion (GO:0005925)	199	17	12.86	+	1.32	2.44E-01	7.50E-01
ATPase dependent transmembrane transport complex (GO:0098533)	47	4	3.04	+	1.32	5.45E-01	1.00E00
lipid droplet (GO:0005811)	118	10	7.62	+	1.31	3.46E-01	9.25E-01
histone methyltransferase complex (GO:0035097)	71	6	4.59	+	1.31	4.64E-01	1.00E00
nucleoplasm (GO:0005654)	3779	319	244.19	+	1.31	1.50E-07	5.26E-06
catalytic complex (GO:1902494)	1797	151	116.12	+	1.30	7.72E-04	1.23E-02
extrinsic component of postsynaptic specialization membrane (GO:0098892)	12	1	.78	+	1.29	5.51E-01	1.00E00
proton-transporting V-type ATPase, V1 domain (GO:0033180)	12	1	.78	+	1.29	5.51E-01	1.00E00
vacuolar proton-transporting V-type ATPase, V1 domain (GO:0000221)	12	1	.78	+	1.29	5.51E-01	1.00E00
chromosome, telomeric repeat region (GO:0140445)	12	1	.78	+	1.29	5.51E-01	1.00E00
ER membrane insertion complex (GO:0072379)	12	1	.78	+	1.29	5.51E-01	1.00E00
TOR complex (GO:0038201)	12	1	.78	+	1.29	5.51E-01	1.00E00
membrane protein complex (GO:0098796)	1260	105	81.42	+	1.29	6.59E-03	6.54E-02
chylomicron (GO:0042627)	12	1	.78	+	1.29	5.51E-01	1.00E00
sodium:potassium-exchanging ATPase complex (GO:0005890)	12	1	.78	+	1.29	5.51E-01	1.00E00
NADPH oxidase complex (GO:0043020)	12	1	.78	+	1.29	5.51E-01	1.00E00
astrocyte end-foot (GO:0097450)	12	1	.78	+	1.29	5.51E-01	1.00E00
podosome (GO:0002102)	48	4	3.10	+	1.29	5.51E-01	1.00E00
cytoplasmic ribonucleoprotein granule (GO:0036464)	264	22	17.06	+	1.29	2.07E-01	6.87E-01
oxidoreductase complex (GO:1990204)	144	12	9.31	+	1.29	3.91E-01	9.82E-01
nuclear lumen (GO:0031981)	4293	357	277.41	+	1.29	9.04E-08	3.22E-06
cell surface (GO:0009986)	1135	94	73.34	+	1.28	1.30E-02	1.08E-01
phagocytic vesicle (GO:0045335)	133	11	8.59	+	1.28	3.75E-01	9.45E-01
microvillus (GO:0005902)	121	10	7.82	+	1.28	4.54E-01	1.00E00
cytosolic ribosome (GO:0022626)	121	10	7.82	+	1.28	4.54E-01	1.00E00
postsynaptic specialization, intracellular component (GO:0099091)	61	5	3.94	+	1.27	5.96E-01	1.00E00
cell periphery (GO:0071944)	6590	538	425.83	+	1.26	4.61E-11	2.79E-09
membrane raft (GO:0045121)	343	28	22.16	+	1.26	1.85E-01	6.37E-01
ribonucleoprotein granule (GO:0035770)	282	23	18.22	+	1.26	2.71E-01	8.05E-01
membrane microdomain (GO:0098857)	345	28	22.29	+	1.26	2.23E-01	7.32E-01
nuclear envelope (GO:0005635)	508	41	32.83	+	1.25	1.43E-01	5.78E-01
cytoplasm (GO:0005737)	11812	950	763.27	+	1.24	1.63E-25	6.50E-23
nucleus (GO:0005634)	7280	585	470.42	+	1.24	4.60E-11	2.86E-09
organelle membrane contact site (GO:0044232)	50	4	3.23	+	1.24	5.64E-01	1.00E00
myosin II complex (GO:0016460)	25	2	1.62	+	1.24	6.75E-01	1.00E00
cytoplasmic vesicle lumen (GO:0060205)	25	2	1.62	+	1.24	6.75E-01	1.00E00
mitochondrion (GO:0005739)	1929	154	124.65	+	1.24	5.64E-03	5.77E-02
rough endoplasmic reticulum (GO:0005791)	63	5	4.07	+	1.23	6.03E-01	1.00E00
phagophore assembly site (GO:0000407)	38	3	2.46	+	1.22	7.35E-01	1.00E00
cytochrome complex (GO:0070069)	38	3	2.46	+	1.22	7.35E-01	1.00E00
endonuclease complex (GO:1905348)	38	3	2.46	+	1.22	7.35E-01	1.00E00
vacuolar lumen (GO:0005775)	38	3	2.46	+	1.22	7.35E-01	1.00E00
endomembrane system (GO:0012505)	4451	351	287.61	+	1.22	2.23E-05	5.22E-04
endoplasmic reticulum (GO:0005783)	1923	151	124.26	+	1.22	1.15E-02	1.02E-01
nuclear inner membrane (GO:0005637)	51	4	3.30	+	1.21	5.70E-01	1.00E00
extracellular space (GO:0005615)	1818	142	117.48	+	1.21	1.67E-02	1.32E-01
intracellular membrane-bounded organelle (GO:0043231)	11792	919	761.98	+	1.21	2.48E-18	3.30E-16
extracellular region (GO:0005576)	2542	198	164.26	+	1.21	4.59E-03	4.89E-02
organelle (GO:0043226)	13289	1035	858.71	+	1.21	3.25E-24	9.26E-22
intracellular organelle (GO:0043229)	12940	1004	836.16	+	1.20	1.08E-21	2.38E-19
intracellular anatomical structure (GO:0005622)	14542	1128	939.68	+	1.20	2.82E-30	1.40E-27
cytoplasmic microtubule (GO:0005881)	129	10	8.34	+	1.20	4.75E-01	1.00E00
organelle inner membrane (GO:0019866)	594	46	38.38	+	1.20	2.04E-01	6.77E-01
mitochondrial inner membrane (GO:0005743)	543	42	35.09	+	1.20	2.16E-01	7.13E-01
plasma membrane (GO:0005886)	6083	470	393.07	+	1.20	3.46E-06	9.45E-05
organelle envelope (GO:0031967)	1338	103	86.46	+	1.19	6.60E-02	3.56E-01
SUMO ligase complex (GO:0106068)	13	1	.84	+	1.19	5.80E-01	1.00E00
female germ cell nucleus (GO:0001674)	26	2	1.68	+	1.19	6.84E-01	1.00E00
alpha-beta T cell receptor complex (GO:0042105)	13	1	.84	+	1.19	5.80E-01	1.00E00
core mediator complex (GO:0070847)	26	2	1.68	+	1.19	6.84E-01	1.00E00
nuclear pore nuclear basket (GO:0044615)	13	1	.84	+	1.19	5.80E-01	1.00E00
nuclear inclusion body (GO:0042405)	13	1	.84	+	1.19	5.80E-01	1.00E00
Swr1 complex (GO:0000812)	13	1	.84	+	1.19	5.80E-01	1.00E00
SCAR complex (GO:0031209)	13	1	.84	+	1.19	5.80E-01	1.00E00
chromatin silencing complex (GO:0005677)	13	1	.84	+	1.19	5.80E-01	1.00E00
WASH complex (GO:0071203)	13	1	.84	+	1.19	5.80E-01	1.00E00
chromosome, telomeric region (GO:0000781)	130	10	8.40	+	1.19	5.89E-01	1.00E00
MHC class I protein complex (GO:0042612)	26	2	1.68	+	1.19	6.84E-01	1.00E00
preribosome, small subunit precursor (GO:0030688)	13	1	.84	+	1.19	5.80E-01	1.00E00
respiratory chain complex IV (GO:0045277)	26	2	1.68	+	1.19	6.84E-01	1.00E00
enzyme activator complex (GO:0150005)	13	1	.84	+	1.19	5.80E-01	1.00E00
ciliary tip (GO:0097542)	13	1	.84	+	1.19	5.80E-01	1.00E00
triglyceride-rich plasma lipoprotein particle (GO:0034385)	26	2	1.68	+	1.19	6.84E-01	1.00E00
very-low-density lipoprotein particle (GO:0034361)	26	2	1.68	+	1.19	6.84E-01	1.00E00
mitochondrial outer membrane translocase complex (GO:0005742)	13	1	.84	+	1.19	5.80E-01	1.00E00
site of DNA damage (GO:0090734)	130	10	8.40	+	1.19	5.89E-01	1.00E00
side of membrane (GO:0098552)	860	66	55.57	+	1.19	1.38E-01	5.57E-01
Golgi apparatus (GO:0005794)	1529	117	98.80	+	1.18	5.21E-02	3.06E-01
mitochondrial envelope (GO:0005740)	864	66	55.83	+	1.18	1.57E-01	6.07E-01
membrane-bounded organelle (GO:0043227)	12297	938	794.61	+	1.18	8.73E-16	7.91E-14
cluster of actin-based cell projections (GO:0098862)	224	17	14.47	+	1.17	4.93E-01	1.00E00
postsynaptic density, intracellular component (GO:0099092)	53	4	3.42	+	1.17	7.76E-01	1.00E00
acrosomal vesicle (GO:0001669)	200	15	12.92	+	1.16	5.61E-01	1.00E00
transferase complex (GO:1990234)	923	69	59.64	+	1.16	1.94E-01	6.57E-01
calcium channel complex (GO:0034704)	67	5	4.33	+	1.15	6.21E-01	1.00E00
bounding membrane of organelle (GO:0098588)	1876	140	121.22	+	1.15	6.90E-02	3.67E-01
centriole (GO:0005814)	161	12	10.40	+	1.15	6.27E-01	1.00E00
photoreceptor outer segment (GO:0001750)	94	7	6.07	+	1.15	6.72E-01	1.00E00
vesicle membrane (GO:0012506)	1008	75	65.14	+	1.15	1.90E-01	6.45E-01
vesicle (GO:0031982)	2353	175	152.05	+	1.15	4.56E-02	2.80E-01
INO80-type complex (GO:0097346)	27	2	1.74	+	1.15	6.93E-01	1.00E00
intraciliary transport particle (GO:0030990)	27	2	1.74	+	1.15	6.93E-01	1.00E00
vesicle lumen (GO:0031983)	27	2	1.74	+	1.15	6.93E-01	1.00E00
mitochondrial membrane (GO:0031966)	813	60	52.53	+	1.14	2.75E-01	8.17E-01
cytoplasmic vesicle (GO:0031410)	2211	163	142.87	+	1.14	6.80E-02	3.65E-01
intracellular vesicle (GO:0097708)	2219	163	143.39	+	1.14	7.57E-02	3.88E-01
lipoprotein particle (GO:1990777)	41	3	2.65	+	1.13	7.47E-01	1.00E00
