




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.14083199 Released 2024-11-03
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Mus musculus - REFLIST (21836)	upload_1 (364)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
positive regulation of synapse pruning (GO:1905808)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
nuclear matrix anchoring at nuclear membrane (GO:0090292)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of osteoclast proliferation (GO:0090291)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
excitatory synapse pruning (GO:1905805)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of osteoclast proliferation (GO:0090290)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
embryonic liver development (GO:1990402)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
embryonic lung development (GO:1990401)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
TOR signaling (GO:0031929)	46	0	.77	-	 < 0.01	1.00E00	1.00E00
pyridoxine transport (GO:0031923)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of osteoclast proliferation (GO:0090289)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
negative regulation of calcium ion import (GO:0090281)	15	0	.25	-	 < 0.01	1.00E00	1.00E00
vitamin B6 transport (GO:0031919)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of synaptic plasticity (GO:0031915)	14	0	.23	-	 < 0.01	1.00E00	1.00E00
negative regulation of somatostatin secretion (GO:0090275)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of somatostatin secretion (GO:0090274)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of somatostatin secretion (GO:0090273)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
negative regulation of fibroblast growth factor production (GO:0090272)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
positive regulation of fibroblast growth factor production (GO:0090271)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
regulation of fibroblast growth factor production (GO:0090270)	11	0	.18	-	 < 0.01	1.00E00	1.00E00
response to toluene (GO:1901424)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
fibroblast growth factor production (GO:0090269)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of mitotic cell cycle spindle assembly checkpoint (GO:0090267)	12	0	.20	-	 < 0.01	1.00E00	1.00E00
regulation of mitotic cell cycle spindle assembly checkpoint (GO:0090266)	25	0	.42	-	 < 0.01	1.00E00	1.00E00
positive regulation of immune complex clearance by monocytes and macrophages (GO:0090265)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of immune complex clearance by monocytes and macrophages (GO:0090264)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of transcription-coupled nucleotide-excision repair (GO:0090262)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of inclusion body assembly (GO:0090261)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
regulation of response to alcohol (GO:1901419)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
seminal clot liquefaction (GO:0070684)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
proteasome regulatory particle assembly (GO:0070682)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
glutaminyl-tRNAGln biosynthesis via transamidation (GO:0070681)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of mitochondrial fission (GO:0090258)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
pronephros development (GO:0048793)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
spontaneous exocytosis of neurotransmitter (GO:0048792)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
maintenance of presynaptic active zone structure (GO:0048790)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
protein localization involved in establishment of planar polarity (GO:0090251)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
intralumenal vesicle formation (GO:0070676)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
response to interleukin-18 (GO:0070673)	10	0	.17	-	 < 0.01	1.00E00	1.00E00
positive regulation of tetrapyrrole metabolic process (GO:1901403)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of tetrapyrrole metabolic process (GO:1901401)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
cytoskeletal matrix organization at active zone (GO:0048789)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of cell migration involved in somitogenic axis elongation (GO:0090249)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
convergent extension involved in somitogenesis (GO:0090246)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
axis elongation involved in somitogenesis (GO:0090245)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
Wnt signaling pathway involved in somitogenesis (GO:0090244)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
positive regulation of mast cell proliferation (GO:0070668)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
negative regulation of mast cell proliferation (GO:0070667)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of mast cell proliferation (GO:0070666)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
mast cell proliferation (GO:0070662)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
positive regulation of arachidonate secretion (GO:0090238)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
regulation of arachidonate secretion (GO:0090237)	11	0	.18	-	 < 0.01	1.00E00	1.00E00
erythrophore differentiation (GO:0048773)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of metaphase plate congression (GO:0090235)	15	0	.25	-	 < 0.01	1.00E00	1.00E00
regulation of kinetochore assembly (GO:0090234)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of spindle checkpoint (GO:0090233)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
positive regulation of spindle checkpoint (GO:0090232)	13	0	.22	-	 < 0.01	1.00E00	1.00E00
regulation of spindle checkpoint (GO:0090231)	28	0	.47	-	 < 0.01	1.00E00	1.00E00
regulation of centromere complex assembly (GO:0090230)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
sensory epithelium regeneration (GO:0070654)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
nonfunctional rRNA decay (GO:0070651)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
sarcomerogenesis (GO:0048769)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of lipoprotein transport (GO:0140077)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of lipoprotein transport (GO:0140075)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
cardiac endothelial to mesenchymal transition (GO:0140074)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of spindle organization (GO:0090224)	47	0	.78	-	 < 0.01	1.00E00	1.00E00
centrosome-templated microtubule nucleation (GO:0090222)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
chromosome localization to nuclear envelope involved in homologous chromosome segregation (GO:0090220)	14	0	.23	-	 < 0.01	1.00E00	1.00E00
formin-nucleated actin cable assembly (GO:0070649)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
vitamin D3 metabolic process (GO:0070640)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
peptidyl-lysine butyrylation (GO:0140067)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
peptidyl-lysine crotonylation (GO:0140066)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
pigment granule maturation (GO:0048757)	10	0	.17	-	 < 0.01	1.00E00	1.00E00
positive regulation of lipid kinase activity (GO:0090218)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
branching morphogenesis of a nerve (GO:0048755)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
pigment granule organization (GO:0048753)	39	0	.65	-	 < 0.01	1.00E00	1.00E00
semicircular canal morphogenesis (GO:0048752)	10	0	.17	-	 < 0.01	1.00E00	1.00E00
spongiotrophoblast layer developmental growth (GO:0090214)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
axon arborization (GO:0140060)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of establishment of blood-brain barrier (GO:0090212)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of establishment of blood-brain barrier (GO:0090210)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
actin cortical patch organization (GO:0044396)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
protein targeting to vacuolar membrane (GO:0044395)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
pyridine nucleoside catabolic process (GO:0070638)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
pyridine nucleoside metabolic process (GO:0070637)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
transepithelial ammonium transport (GO:0070634)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
transepithelial transport (GO:0070633)	34	0	.57	-	 < 0.01	1.00E00	1.00E00
negative regulation of smooth muscle cell-matrix adhesion (GO:2000098)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of smooth muscle cell-matrix adhesion (GO:2000097)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
dendrite arborization (GO:0140059)	14	0	.23	-	 < 0.01	1.00E00	1.00E00
neuron projection arborization (GO:0140058)	23	0	.38	-	 < 0.01	1.00E00	1.00E00
negative regulation of triglyceride metabolic process (GO:0090209)	16	0	.27	-	 < 0.01	1.00E00	1.00E00
positive regulation of triglyceride metabolic process (GO:0090208)	28	0	.47	-	 < 0.01	1.00E00	1.00E00
negative regulation of cholesterol metabolic process (GO:0090206)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
cellular response to oxidised low-density lipoprotein particle stimulus (GO:0140052)	11	0	.18	-	 < 0.01	1.00E00	1.00E00
positive regulation of skeletal muscle fiber development (GO:0048743)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
positive regulation of cholesterol metabolic process (GO:0090205)	27	0	.45	-	 < 0.01	1.00E00	1.00E00
positive regulation of endocardial cushion to mesenchymal transition (GO:0140051)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of skeletal muscle fiber development (GO:0048742)	12	0	.20	-	 < 0.01	1.00E00	1.00E00
skeletal muscle fiber development (GO:0048741)	34	0	.57	-	 < 0.01	1.00E00	1.00E00
negative regulation of release of cytochrome c from mitochondria (GO:0090201)	22	0	.37	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein kinase activity by regulation of protein phosphorylation (GO:0044387)	10	0	.17	-	 < 0.01	1.00E00	1.00E00
glucose import in response to insulin stimulus (GO:0044381)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
zymogen granule exocytosis (GO:0070625)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
protein localization to cytoskeleton (GO:0044380)	51	0	.85	-	 < 0.01	1.00E00	1.00E00
regulation of endocardial cushion to mesenchymal transition (GO:0140049)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
manganese ion export across plasma membrane (GO:0140048)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
sebaceous gland development (GO:0048733)	14	0	.23	-	 < 0.01	1.00E00	1.00E00
cellular detoxification of methylglyoxal (GO:0140041)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of peroxisome size (GO:0044375)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of type B pancreatic cell development (GO:2000077)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of centromeric sister chromatid cohesion (GO:0070602)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
centromeric sister chromatid cohesion (GO:0070601)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
positive regulation of cortisol biosynthetic process (GO:2000066)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of ureter smooth muscle cell differentiation (GO:2000063)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of ureter smooth muscle cell differentiation (GO:2000062)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of ureter smooth muscle cell differentiation (GO:2000061)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060)	99	0	1.65	-	 < 0.01	4.17E-01	1.00E00
negative regulation of oligodendrocyte differentiation (GO:0048715)	18	0	.30	-	 < 0.01	1.00E00	1.00E00
positive regulation of oligodendrocyte differentiation (GO:0048714)	31	0	.52	-	 < 0.01	1.00E00	1.00E00
mitochondrial ADP transmembrane transport (GO:0140021)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
negative regulation of astrocyte differentiation (GO:0048712)	20	0	.33	-	 < 0.01	1.00E00	1.00E00
positive regulation of astrocyte differentiation (GO:0048711)	15	0	.25	-	 < 0.01	1.00E00	1.00E00
regulation of astrocyte differentiation (GO:0048710)	38	0	.63	-	 < 0.01	1.00E00	1.00E00
regulation of rRNA stability (GO:0044357)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
macropinocytosis (GO:0044351)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
positive regulation of intracellular cholesterol transport (GO:0032385)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of intracellular cholesterol transport (GO:0032384)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of intracellular cholesterol transport (GO:0032383)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
negative regulation of ubiquitin-dependent protein catabolic process (GO:2000059)	58	0	.97	-	 < 0.01	1.00E00	1.00E00
positive regulation of intracellular sterol transport (GO:0032382)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	166	0	2.77	-	 < 0.01	1.21E-01	1.00E00
negative regulation of intracellular sterol transport (GO:0032381)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of intracellular sterol transport (GO:0032380)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
regulation of cytoplasmic translational fidelity (GO:0140018)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of non-canonical Wnt signaling pathway (GO:2000051)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
meiotic nuclear division (GO:0140013)	192	0	3.20	-	 < 0.01	8.16E-02	8.95E-01
embryonic viscerocranium morphogenesis (GO:0048703)	10	0	.17	-	 < 0.01	1.00E00	1.00E00
embryonic neurocranium morphogenesis (GO:0048702)	10	0	.17	-	 < 0.01	1.00E00	1.00E00
fibroblast apoptotic process (GO:0044346)	15	0	.25	-	 < 0.01	1.00E00	1.00E00
stromal-epithelial cell signaling involved in prostate gland development (GO:0044345)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
sodium-dependent phosphate transport (GO:0044341)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
positive regulation of intracellular lipid transport (GO:0032379)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
negative regulation of intracellular lipid transport (GO:0032378)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of intracellular lipid transport (GO:0032377)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
negative regulation of cholesterol transport (GO:0032375)	12	0	.20	-	 < 0.01	1.00E00	1.00E00
negative regulation of sterol transport (GO:0032372)	12	0	.20	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell-cell adhesion mediated by cadherin (GO:2000048)	10	0	.17	-	 < 0.01	1.00E00	1.00E00
L-aspartate import across plasma membrane (GO:0140009)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
regulation of cardiac cell fate specification (GO:2000043)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
protein polyglutamylation (GO:0018095)	10	0	.17	-	 < 0.01	1.00E00	1.00E00
protein polyglycylation (GO:0018094)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
canonical Wnt signaling pathway involved in mesenchymal stem cell differentiation (GO:0044338)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
canonical Wnt signaling pathway involved in positive regulation of apoptotic process (GO:0044337)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
canonical Wnt signaling pathway involved in negative regulation of apoptotic process (GO:0044336)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
cell-cell adhesion mediated by cadherin (GO:0044331)	30	0	.50	-	 < 0.01	1.00E00	1.00E00
negative regulation of lipid transport (GO:0032369)	34	0	.57	-	 < 0.01	1.00E00	1.00E00
intracellular cholesterol transport (GO:0032367)	24	0	.40	-	 < 0.01	1.00E00	1.00E00
intracellular sterol transport (GO:0032366)	28	0	.47	-	 < 0.01	1.00E00	1.00E00
intracellular lipid transport (GO:0032365)	37	0	.62	-	 < 0.01	1.00E00	1.00E00
intracellular oxygen homeostasis (GO:0032364)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
pyridoxal phosphate catabolic process (GO:0032361)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of stem cell division (GO:2000035)	15	0	.25	-	 < 0.01	1.00E00	1.00E00
response to follicle-stimulating hormone (GO:0032354)	23	0	.38	-	 < 0.01	1.00E00	1.00E00
positive regulation of hormone metabolic process (GO:0032352)	25	0	.42	-	 < 0.01	1.00E00	1.00E00
positive regulation of glycine import across plasma membrane (GO:1900925)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of glycine import across plasma membrane (GO:1900924)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of glycine import across plasma membrane (GO:1900923)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of cardiac muscle cell contraction (GO:0106135)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of cardiac muscle cell contraction (GO:0106134)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of male gonad development (GO:2000020)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
N-terminal peptidyl-lysine acetylation (GO:0018076)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
protein K27-linked ubiquitination (GO:0044314)	12	0	.20	-	 < 0.01	1.00E00	1.00E00
protein K6-linked deubiquitination (GO:0044313)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of aldosterone biosynthetic process (GO:0032349)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of aldosterone metabolic process (GO:0032346)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of male gonad development (GO:2000019)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
aldosterone biosynthetic process (GO:0032342)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of store-operated calcium entry (GO:0106129)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of male gonad development (GO:2000018)	12	0	.20	-	 < 0.01	1.00E00	1.00E00
aldosterone metabolic process (GO:0032341)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
positive regulation of determination of dorsal identity (GO:2000017)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of determination of dorsal identity (GO:2000016)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of determination of dorsal identity (GO:2000015)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
regulation of adaxial/abaxial pattern formation (GO:2000011)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of cobalamin metabolic process (GO:0106121)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of sterol biosynthetic process (GO:0106120)	16	0	.27	-	 < 0.01	1.00E00	1.00E00
cytochrome c-heme linkage (GO:0018063)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
tricarboxylic acid cycle (GO:0006099)	34	0	.57	-	 < 0.01	1.00E00	1.00E00
pentose-phosphate shunt (GO:0006098)	14	0	.23	-	 < 0.01	1.00E00	1.00E00
glyoxylate cycle (GO:0006097)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of sterol biosynthetic process (GO:0106119)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
negative regulation of chondrocyte differentiation (GO:0032331)	26	0	.43	-	 < 0.01	1.00E00	1.00E00
regulation of sterol biosynthetic process (GO:0106118)	28	0	.47	-	 < 0.01	1.00E00	1.00E00
negative regulation of metanephric comma-shaped body morphogenesis (GO:2000007)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of metanephric comma-shaped body morphogenesis (GO:2000006)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of metanephric S-shaped body morphogenesis (GO:2000005)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of metanephric S-shaped body morphogenesis (GO:2000004)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of DNA damage checkpoint (GO:2000003)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of DNA damage checkpoint (GO:2000002)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of DNA damage checkpoint (GO:2000001)	22	0	.37	-	 < 0.01	1.00E00	1.00E00
peptidyl-lysine oxidation (GO:0018057)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
lactate metabolic process (GO:0006089)	20	0	.33	-	 < 0.01	1.00E00	1.00E00
acetyl-CoA biosynthetic process from pyruvate (GO:0006086)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
acetyl-CoA biosynthetic process (GO:0006085)	16	0	.27	-	 < 0.01	1.00E00	1.00E00
serine transport (GO:0032329)	9	0	.15	-	 < 0.01	1.00E00	1.00E00
acetyl-CoA metabolic process (GO:0006084)	36	0	.60	-	 < 0.01	1.00E00	1.00E00
acetate metabolic process (GO:0006083)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
molybdopterin cofactor biosynthetic process (GO:0032324)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
cold-induced thermogenesis (GO:0106106)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of glutamate receptor clustering (GO:0106104)	10	0	.17	-	 < 0.01	1.00E00	1.00E00
ER-dependent peroxisome localization (GO:0106101)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
glycerol metabolic process (GO:0006071)	21	0	.35	-	 < 0.01	1.00E00	1.00E00
prostaglandin secretion (GO:0032310)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
ethanol catabolic process (GO:0006068)	18	0	.30	-	 < 0.01	1.00E00	1.00E00
ethanol metabolic process (GO:0006067)	19	0	.32	-	 < 0.01	1.00E00	1.00E00
UDP-glucuronate biosynthetic process (GO:0006065)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
icosanoid secretion (GO:0032309)	31	0	.52	-	 < 0.01	1.00E00	1.00E00
glucuronate catabolic process (GO:0006064)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
uronic acid metabolic process (GO:0006063)	23	0	.38	-	 < 0.01	1.00E00	1.00E00
negative regulation of prostaglandin secretion (GO:0032307)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
sorbitol catabolic process (GO:0006062)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
sorbitol biosynthetic process (GO:0006061)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
sorbitol metabolic process (GO:0006060)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of icosanoid secretion (GO:0032304)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
peptidyl-lysine dimethylation (GO:0018027)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
peptidyl-lysine monomethylation (GO:0018026)	7	0	.12	-	 < 0.01	1.00E00	1.00E00
peptidyl-lysine trimethylation (GO:0018023)	6	0	.10	-	 < 0.01	1.00E00	1.00E00
peptidyl-lysine methylation (GO:0018022)	21	0	.35	-	 < 0.01	1.00E00	1.00E00
peptidyl-histidine methylation (GO:0018021)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
hexitol metabolic process (GO:0006059)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
mannoprotein catabolic process (GO:0006058)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
mannoprotein metabolic process (GO:0006056)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
CMP-N-acetylneuraminate biosynthetic process (GO:0006055)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
N-acetylneuraminate metabolic process (GO:0006054)	15	0	.25	-	 < 0.01	1.00E00	1.00E00
N-acetylmannosamine metabolic process (GO:0006051)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
mannosamine metabolic process (GO:0006050)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of intraciliary retrograde transport (GO:1905799)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
N-terminal peptidyl-proline dimethylation (GO:0018016)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
RNA 3' uridylation (GO:0071076)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
N-terminal peptidyl-glycine methylation (GO:0018013)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
N-terminal peptidyl-alanine trimethylation (GO:0018012)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of phospholipid biosynthetic process (GO:0071072)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
protein localization to pericentriolar material (GO:1905793)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
N-terminal peptidyl-alanine methylation (GO:0018011)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
UDP-N-acetylglucosamine catabolic process (GO:0006049)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
UDP-N-acetylglucosamine biosynthetic process (GO:0006048)	8	0	.13	-	 < 0.01	1.00E00	1.00E00
epithelium regeneration (GO:1990399)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
UDP-N-acetylglucosamine metabolic process (GO:0006047)	12	0	.20	-	 < 0.01	1.00E00	1.00E00
N-acetylglucosamine catabolic process (GO:0006046)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
N-acetylglucosamine biosynthetic process (GO:0006045)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
N-acetylglucosamine metabolic process (GO:0006044)	18	0	.30	-	 < 0.01	1.00E00	1.00E00
glucosamine catabolic process (GO:0006043)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
glucosamine biosynthetic process (GO:0006042)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
glucosamine metabolic process (GO:0006041)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
amino sugar metabolic process (GO:0006040)	50	0	.83	-	 < 0.01	1.00E00	1.00E00
AMPA selective glutamate receptor signaling pathway (GO:0098990)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
negative regulation of filopodium assembly (GO:0051490)	5	0	.08	-	 < 0.01	1.00E00	1.00E00
protein K33-linked ubiquitination (GO:1990390)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
N-terminal peptidyl-L-cysteine N-palmitoylation (GO:0018009)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
N-terminal peptidyl-glycine N-myristoylation (GO:0018008)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of detection of mechanical stimulus involved in sensory perception of touch (GO:1905788)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of detection of mechanical stimulus involved in sensory perception of touch (GO:1905787)	1	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of anaphase-promoting complex-dependent catabolic process (GO:1905786)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
peptidyl-lysine N6-acetylation (GO:0018003)	4	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of anaphase-promoting complex-dependent catabolic process (GO:1905784)	3	0	.05	-	 < 0.01	1.00E00	1.00E00
N-terminal peptidyl-glutamic acid acetylation (GO:0018002)	2	0	.03	-	 < 0.01	1.00E00	1.00E00
