




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.14083199 Released 2024-11-03
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Mus musculus - REFLIST (21836)	upload_1 (1411)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
phosphomevalonate kinase activity (GO:0004631)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
FAD-dependent H3K4me/H3K4me3 demethylase activity (GO:0140682)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
histone H3K36me2/H3K36me3 demethylase activity (GO:0140681)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
histone H3K36me/H3K36me2 demethylase activity (GO:0140680)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
iron-cytochrome-c reductase activity (GO:0047726)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
dehydrodolichyl diphosphate synthase activity (GO:0045547)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum-organelle membrane tether activity (GO:0170009)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
lysophospholipase activity (GO:0004622)	21	0	1.36	-	 < 0.01	3.97E-01	1.00E00
glycosylphosphatidylinositol phospholipase D activity (GO:0004621)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
steroid hormone binding (GO:1990239)	6	0	.39	-	 < 0.01	1.00E00	1.00E00
double-stranded DNA endonuclease activity (GO:1990238)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
galactolipase activity (GO:0047714)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
peroxisome targeting sequence binding (GO:0000268)	5	0	.32	-	 < 0.01	1.00E00	1.00E00
bis(5'-adenosyl)-triphosphatase activity (GO:0047710)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
chemokine (C-C motif) ligand 21 binding (GO:0035758)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
chemokine (C-C motif) ligand 19 binding (GO:0035757)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
phosphoglycerate kinase activity (GO:0004618)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
cardiolipin hydrolase activity (GO:0035755)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
phosphoglycerate dehydrogenase activity (GO:0004617)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
phosphoglucomutase activity (GO:0004614)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
phosphoenolpyruvate carboxykinase (GTP) activity (GO:0004613)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
ATP-dependent FeS chaperone activity (GO:0140663)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
phosphoenolpyruvate carboxykinase activity (GO:0004611)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
phosphoacetylglucosamine mutase activity (GO:0004610)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
biotinidase activity (GO:0047708)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
protein lysine delactylase activity (GO:0160216)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
bile-salt sulfotransferase activity (GO:0047704)	9	0	.58	-	 < 0.01	1.00E00	1.00E00
C-4 methylsterol oxidase activity (GO:0000254)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity (GO:0000252)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
interleukin-27 receptor binding (GO:0045523)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
lanosterol synthase activity (GO:0000250)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
phosphatidylserine decarboxylase activity (GO:0004609)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
phosphatidylethanolamine N-methyltransferase activity (GO:0004608)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
phosphatidylcholine-sterol O-acyltransferase activity (GO:0004607)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
phenylethanolamine N-methyltransferase activity (GO:0004603)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
protein tag activity (GO:0031386)	14	0	.90	-	 < 0.01	1.00E00	1.00E00
C-5 sterol desaturase activity (GO:0000248)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
C-8 sterol isomerase activity (GO:0000247)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
interleukin-23 receptor binding (GO:0045519)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
delta24(24-1) sterol reductase activity (GO:0000246)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
interleukin-22 receptor binding (GO:0045518)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
interleukin-20 receptor binding (GO:0045517)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
interleukin-18 receptor binding (GO:0045515)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
interleukin-27 binding (GO:0045513)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
dinitrosyl-iron complex binding (GO:0035731)	7	0	.45	-	 < 0.01	1.00E00	1.00E00
S-nitrosoglutathione binding (GO:0035730)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
eukaryotic initiation factor 4G binding (GO:0031370)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
dynein heavy chain binding (GO:0045504)	16	0	1.03	-	 < 0.01	6.20E-01	1.00E00
N-acetylglucosaminylphosphatidylinositol deacetylase activity (GO:0000225)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity (GO:0000224)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
macrophage migration inhibitory factor binding (GO:0035718)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
chemokine (C-C motif) ligand 7 binding (GO:0035717)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
chemokine (C-C motif) ligand 12 binding (GO:0035716)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
chemokine (C-C motif) ligand 2 binding (GO:0035715)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
opioid growth factor receptor activity (GO:0140625)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
tRNA 2'-phosphotransferase activity (GO:0000215)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
very-long-chain fatty acyl-CoA dehydrogenase activity (GO:0017099)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
chloride-activated potassium channel activity (GO:0070089)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
sulfonylurea receptor binding (GO:0017098)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
iodotyrosine deiodinase activity (GO:0140616)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
acetylserotonin O-methyltransferase activity (GO:0017096)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
heparan sulfate 6-O-sulfotransferase activity (GO:0017095)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
P-type manganese transporter activity (GO:0140613)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
RNA sequestering activity (GO:0140610)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
titin Z domain binding (GO:0070080)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
glycolipid transfer activity (GO:0017089)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase activity (GO:0017083)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
oxidative phosphorylation uncoupler activity (GO:0017077)	5	0	.32	-	 < 0.01	1.00E00	1.00E00
hexitol dehydrogenase activity (GO:0031320)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
single-strand selective uracil DNA N-glycosylase activity (GO:0017065)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
collagen V binding (GO:0070052)	5	0	.32	-	 < 0.01	1.00E00	1.00E00
S-methyl-5-thioadenosine phosphorylase activity (GO:0017061)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
cyclohydrolase activity (GO:0019238)	5	0	.32	-	 < 0.01	1.00E00	1.00E00
centromeric DNA binding (GO:0019237)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
alkylthioltransferase activity (GO:0050497)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
6-phosphogluconolactonase activity (GO:0017057)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
structural constituent of nuclear pore (GO:0017056)	21	0	1.36	-	 < 0.01	3.97E-01	1.00E00
rRNA (uridine-N3-)-methyltransferase activity (GO:0070042)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
rRNA (uridine-C5-)-methyltransferase activity (GO:0070041)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
D-erythro-sphingosine kinase activity (GO:0017050)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
GTPase inhibitor activity (GO:0005095)	5	0	.32	-	 < 0.01	1.00E00	1.00E00
Rho GDP-dissociation inhibitor activity (GO:0005094)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
Rab GDP-dissociation inhibitor activity (GO:0005093)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
GDP-dissociation inhibitor activity (GO:0005092)	16	0	1.03	-	 < 0.01	6.20E-01	1.00E00
guanyl-nucleotide exchange factor adaptor activity (GO:0005091)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
intramolecular hydroxytransferase activity (GO:0050486)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
GMP 5'-nucleotidase activity (GO:0050484)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
IMP 5'-nucleotidase activity (GO:0050483)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
rRNA (guanosine-2'-O-)-methyltransferase activity (GO:0070039)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
imidazolonepropionase activity (GO:0050480)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
corticotropin-releasing hormone activity (GO:0017045)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
glycosylceramidase activity (GO:0017042)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
D-glucuronate transmembrane transporter activity (GO:0042880)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
N-acylsphingosine amidohydrolase activity (GO:0017040)	6	0	.39	-	 < 0.01	1.00E00	1.00E00
inositol-1,3,4,5-tetrakisphosphate 5-phosphatase activity (GO:0052659)	5	0	.32	-	 < 0.01	1.00E00	1.00E00
guanine phosphoribosyltransferase activity (GO:0052657)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
alpha-1,3-galactosyltransferase activity (GO:0001962)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
glyceryl-ether monooxygenase activity (GO:0050479)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
intermediate filament binding (GO:0019215)	14	0	.90	-	 < 0.01	1.00E00	1.00E00
arachidonate 15-lipoxygenase activity (GO:0050473)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
nitric oxide binding (GO:0070026)	5	0	.32	-	 < 0.01	1.00E00	1.00E00
carbon monoxide binding (GO:0070025)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
decanoate-CoA ligase activity (GO:0102391)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
mycophenolic acid acyl-glucuronide esterase activity (GO:0102390)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
MAP-kinase scaffold activity (GO:0005078)	13	0	.84	-	 < 0.01	1.00E00	1.00E00
lysophosphatidic acid phosphatase activity (GO:0052642)	6	0	.39	-	 < 0.01	1.00E00	1.00E00
polyprenol reductase activity (GO:0102389)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
carbohydrate phosphatase activity (GO:0019203)	11	0	.71	-	 < 0.01	1.00E00	1.00E00
amino acid kinase activity (GO:0019202)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
myosin I binding (GO:0017024)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
oligopeptidase activity (GO:0070012)	5	0	.32	-	 < 0.01	1.00E00	1.00E00
myosin phosphatase regulator activity (GO:0017020)	7	0	.45	-	 < 0.01	1.00E00	1.00E00
transmembrane receptor protein tyrosine kinase adaptor activity (GO:0005068)	14	0	.90	-	 < 0.01	1.00E00	1.00E00
lipoprotein lipase activator activity (GO:0060230)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
ethanolamine-phosphate phospho-lyase activity (GO:0050459)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
UDP-N-acetylgalactosamine diphosphorylase activity (GO:0052630)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
serine-type aminopeptidase activity (GO:0070009)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
serine-type exopeptidase activity (GO:0070008)	11	0	.71	-	 < 0.01	1.00E00	1.00E00
fluoride transmembrane transporter activity (GO:1903425)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
cysteine-type aminopeptidase activity (GO:0070005)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
cysteine-type exopeptidase activity (GO:0070004)	10	0	.65	-	 < 0.01	1.00E00	1.00E00
glutamic-type peptidase activity (GO:0070002)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
aspartic-type peptidase activity (GO:0070001)	32	0	2.07	-	 < 0.01	2.67E-01	1.00E00
lipase activator activity (GO:0060229)	25	0	1.62	-	 < 0.01	4.05E-01	1.00E00
calcium-dependent ATPase activity (GO:0030899)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
peroxisome matrix targeting signal-2 binding (GO:0005053)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
peroxisome matrix targeting signal-1 binding (GO:0005052)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
3'-tyrosyl-DNA phosphodiesterase activity (GO:0017005)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
(R)-carnitine transmembrane transporter activity (GO:1901235)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
13-lipoxin reductase activity (GO:0036185)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
signal recognition particle binding (GO:0005047)	6	0	.39	-	 < 0.01	1.00E00	1.00E00
KDEL sequence binding (GO:0005046)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
exogenous lipid antigen binding (GO:0030884)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
endogenous lipid antigen binding (GO:0030883)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
lipid antigen binding (GO:0030882)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
netrin receptor activity involved in chemorepulsion (GO:0005043)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
netrin receptor activity (GO:0005042)	6	0	.39	-	 < 0.01	1.00E00	1.00E00
microfibril binding (GO:0050436)	6	0	.39	-	 < 0.01	1.00E00	1.00E00
protein serine pyrophosphorylase activity (GO:0141090)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
BRE binding (GO:0042835)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
11-cis-retinol dehydrogenase activity (GO:0102354)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
peptidoglycan binding (GO:0042834)	19	0	1.23	-	 < 0.01	6.31E-01	1.00E00
K6-linked polyubiquitin modification-dependent protein binding (GO:0071796)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
K11-linked polyubiquitin modification-dependent protein binding (GO:0071795)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
chemokine (C-C motif) ligand 5 binding (GO:0071791)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
farnesylated protein binding (GO:0001918)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
glucose sensor activity (GO:0141089)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
calcium-dependent phospholipase C activity (GO:0050429)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
ATP-dependent protein-DNA complex displacement activity (GO:0061995)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
receptor ligand inhibitor activity (GO:0141069)	6	0	.39	-	 < 0.01	1.00E00	1.00E00
[acetyl-CoA carboxylase]-phosphatase activity (GO:0050406)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
nuclear vitamin D receptor binding (GO:0042809)	9	0	.58	-	 < 0.01	1.00E00	1.00E00
fucose binding (GO:0042806)	8	0	.52	-	 < 0.01	1.00E00	1.00E00
calmodulin-activated 3',5'-cyclic-GMP phosphodiesterase activity (GO:0048101)	11	0	.71	-	 < 0.01	1.00E00	1.00E00
acetylpyruvate hydrolase activity (GO:0018773)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
thienylcyclohexylpiperidine binding (GO:0016596)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
histone H4 demethylase activity (GO:0141058)	5	0	.32	-	 < 0.01	1.00E00	1.00E00
kringle domain binding (GO:0036143)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
histone H3 arginine deiminase activity (GO:0141057)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
histone H4 ubiquitin ligase activity (GO:0141056)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
[protein]-asparagine 3-dioxygenase activity (GO:0036140)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
histone H2B ubiquitin ligase activity (GO:0141054)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
histone H2A ubiquitin ligase activity (GO:0141053)	6	0	.39	-	 < 0.01	1.00E00	1.00E00
histone H3 demethylase activity (GO:0141052)	26	0	1.68	-	 < 0.01	4.10E-01	1.00E00
vasopressin receptor activity (GO:0005000)	7	0	.45	-	 < 0.01	1.00E00	1.00E00
rRNA (adenine-N6-)-methyltransferase activity (GO:0008988)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
peptidyl-histidine dioxygenase activity (GO:0036139)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
protein-glutamate O-methyltransferase activity (GO:0008983)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
12-hydroxyheptadecatrienoic acid synthase activity (GO:0036134)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
molecular tag activity (GO:0141047)	14	0	.90	-	 < 0.01	1.00E00	1.00E00
Atg8-family conjugating enzyme activity (GO:0141046)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
very-long-chain 3-oxoacyl-CoA reductase activity (GO:0141040)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
phosphopentomutase activity (GO:0008973)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase inhibitor activity (GO:0141039)	6	0	.39	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol 3-kinase activator activity (GO:0141038)	6	0	.39	-	 < 0.01	1.00E00	1.00E00
phosphoglycolate phosphatase activity (GO:0008967)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
mRNA (adenine-N1-)-methyltransferase activity (GO:0061953)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
phosphatidylglycerophosphatase activity (GO:0008962)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
S-formylglutathione hydrolase activity (GO:0018738)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
lipopeptide binding (GO:0071723)	6	0	.39	-	 < 0.01	1.00E00	1.00E00
beta-adrenergic receptor kinase activity (GO:0047696)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
ATP diphosphatase activity (GO:0047693)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
peptidoglycan glycosyltransferase activity (GO:0008955)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
peroxisome membrane class-1 targeting sequence binding (GO:0036105)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
G/T mismatch-specific thymine-DNA glycosylase activity (GO:0141016)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
peptidylamidoglycolate lyase activity (GO:0004598)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
pantetheine-phosphate adenylyltransferase activity (GO:0004595)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
pantothenate kinase activity (GO:0004594)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
propionate CoA-transferase activity (GO:0018729)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
polyprenal reductase activity (GO:0160198)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
dolichal reductase activity (GO:0160197)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
polyprenol dehydrogenase activity (GO:0160196)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
amine sulfotransferase activity (GO:0047685)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
oxaloacetate decarboxylase activity (GO:0008948)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
nitric oxide dioxygenase NAD(P)H activity (GO:0008941)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
nitrate reductase activity (GO:0008940)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
histone H4K16 propionyltransferase activity (GO:0141002)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
histone H4K91 ubiquitin ligase activity (GO:0141000)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
ornithine aminotransferase activity (GO:0004587)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
ornithine carbamoyltransferase activity (GO:0004585)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
dolichyl-phosphate-glucose-glycolipid alpha-glucosyltransferase activity (GO:0004583)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
dolichyl-phosphate beta-D-mannosyltransferase activity (GO:0004582)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
dolichyl-phosphate beta-glucosyltransferase activity (GO:0004581)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
paracellular tight junction channel activity (GO:0160187)	6	0	.39	-	 < 0.01	1.00E00	1.00E00
arachidonate 8(R)-lipoxygenase activity (GO:0047677)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
phospholipase C activator activity (GO:0160185)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
metalloendopeptidase activity involved in amyloid precursor protein catabolic process (GO:1902945)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
autophagosome-membrane adaptor activity (GO:0160183)	4	0	.26	-	 < 0.01	1.00E00	1.00E00
gamma-glutamylaminecyclotransferase activity (GO:0061929)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
glutathione specific gamma-glutamylcyclotransferase activity (GO:0061928)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
superoxide dismutase copper chaperone activity (GO:0016532)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
copper chaperone activity (GO:0016531)	6	0	.39	-	 < 0.01	1.00E00	1.00E00
metallochaperone activity (GO:0016530)	15	0	.97	-	 < 0.01	6.19E-01	1.00E00
inositol monophosphate 1-phosphatase activity (GO:0008934)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
histone propionyltransferase activity (GO:0061922)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
protein propionyltransferase activity (GO:0061920)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
dolichyl-diphosphooligosaccharide-protein glycotransferase activity (GO:0004579)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
chitobiosyldiphosphodolichol beta-mannosyltransferase activity (GO:0004578)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase activity (GO:0004577)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
oligosaccharyl transferase activity (GO:0004576)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
oligo-1,6-glucosidase activity (GO:0004574)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
Glc3Man9GlcNAc2 oligosaccharide glucosidase activity (GO:0004573)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
mannosyl-oligosaccharide 1,3-1,6-alpha-mannosidase activity (GO:0004572)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
mannosyl-oligosaccharide 1,2-alpha-mannosidase activity (GO:0004571)	7	0	.45	-	 < 0.01	1.00E00	1.00E00
dipeptide uniporter activity (GO:0160178)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
methylglyoxal synthase activity (GO:0008929)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
amino-acid racemase activity (GO:0047661)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
growth hormone-releasing hormone receptor activity (GO:0016520)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
glycoprotein endo-alpha-1,2-mannosidase activity (GO:0004569)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
chitinase activity (GO:0004568)	8	0	.52	-	 < 0.01	1.00E00	1.00E00
beta-mannosidase activity (GO:0004567)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
beta-glucuronidase activity (GO:0004566)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
beta-galactosidase activity (GO:0004565)	5	0	.32	-	 < 0.01	1.00E00	1.00E00
beta-fructofuranosidase activity (GO:0004564)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
beta-N-acetylhexosaminidase activity (GO:0004563)	6	0	.39	-	 < 0.01	1.00E00	1.00E00
alpha-N-acetylglucosaminidase activity (GO:0004561)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
alpha-L-fucosidase activity (GO:0004560)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
alpha-amino-acid esterase activity (GO:0047658)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
2-oxoadipate dehydrogenase activity (GO:0160166)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
gastric inhibitory peptide receptor activity (GO:0016519)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
allyl-alcohol dehydrogenase activity (GO:0047655)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
interleukin-12 receptor activity (GO:0016517)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
S-nitrosoglutathione reductase (NADPH) activity (GO:0160163)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
interleukin-13 receptor activity (GO:0016515)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
alkylhalidase activity (GO:0047651)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
alpha-1,4-glucosidase activity (GO:0004558)	5	0	.32	-	 < 0.01	1.00E00	1.00E00
alpha-galactosidase activity (GO:0004557)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
alpha,alpha-trehalase activity (GO:0004555)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
alkylglycerol kinase activity (GO:0047649)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
long-chain-3-hydroxyacyl-CoA dehydrogenase activity (GO:0016509)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
tRNA pseudouridine(38/39) synthase activity (GO:0160154)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
single-strand break-containing DNA binding (GO:1990165)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
tRNA pseudouridine(13) synthase activity (GO:0160150)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
pheromone receptor activity (GO:0016503)	99	0	6.40	-	 < 0.01	3.01E-03	1.35E-01
hydroxypyruvate isomerase activity (GO:0008903)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
P-type potassium:proton transporter activity (GO:0008900)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
tRNA pseudouridine(55) synthase activity (GO:0160148)	3	0	.19	-	 < 0.01	1.00E00	1.00E00
albendazole monooxygenase activity (GO:0047638)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
tRNA pseudouridine(38-40) synthase activity (GO:0160147)	1	0	.06	-	 < 0.01	1.00E00	1.00E00
alanine-oxo-acid transaminase activity (GO:0047635)	2	0	.13	-	 < 0.01	1.00E00	1.00E00
